template_id	template_smarts	reaction_class_id	reaction_name	annotation_method	annotation_confidence	example_reactants	example_product
10	[$(C=O),$(C#N),$(S=O),$([N+](=O)[O-]):1][CH2:2][$(C=O),$(C#N),$(S=O),$([N+](=O)[O-]):3].[#6:4][CH:5]=O>>[*:1][C:2]([*:3])=[CH:5][#6:4]	Wittig	Wittig	smarts-rules	1.0	N#CCC#N|CC=O	CC=C(C#N)C#N
11	[NX3;!$(N[C]=[S,O,N]);$(N[#6,S]);H1,H2:1].[#6:2][S:3](=[O:4])(=[O:5])[F,Cl,Br,I]>>[N:1][S:3](=[O:4])(=[O:5])[#6:2]	sulfon_amide	sulfon_amide	smarts-rules	1.0	CN|CS(=O)(=O)Cl	CNS(C)(=O)=O
12	[#6:1][NH:2][C:3](=[S:4])[NH:5][NH2:6].[#6:7][C:8](=O)[C:9]([#6:10])[Cl,Br,I]>>[#6:1][NH:2][C:3]1=[N:5]-[N:6]=[C:8]([#6:7])-[C:9]([#6:10])-[S:4]1	Negishi	Negishi	smarts-rules	1.0	CNC(=S)NN|CC(=O)C(C)Cl	CNC1=NN=C(C)C(C)S1
13	[O]=[C;$([C]([C])[#6]),$([CH]([C])):1][C;H2,H3:2].[#6:3][C:4](=O)[c:5][c:6][NH2:7]>>[c:1]1[c:2][c:4]([#6:3])[c:5][c:6][n:7]1	quinoline	quinoline	smarts-rules	1.0	CC=O|CC(=O)c1ccccc1N	Cc1ccnc2ccccc12
14	[#6:1][NH:2][NH2:3].O=[C;$(C(C)[#6]),$([CH][C]):4][C;H1,H2;!R:5][C;$(C(C)[#6]),$([CH][C]):6]=O>>[#6:1][n:2]1[n:3][c:6][c:5][c:4]1	pyrazole	pyrazole	smarts-rules	1.0	CNN|CC(=O)CC(C)=O	Cc1cc(C)n(C)n1
15	[#6:1][NH:2][NH2:3].O=[C;$(C(C)[#6]),$([CH][C]):4][#6;H1,H2;!R:5][#6:6][C;$(C(C)[#6]),$([CH][C]):7]=O>>[#6:1][#7H0+0:2]1[#7H0+0:3]=[#6:7][#6:6][#6:5]=[#6:4]1	10.4.2	uncategorized methylation	rxnfp-50	0.9908024433916041	CNN|CC(=O)CCC(C)=O	CC1=CCC(C)=NN1C
16	[#6,#1:1][NH:2][C:3](=[S:4])[NH2:5].[#6,H:6][N:7]1[C:8](=[O:9])[C:10]=[C:11][C:12]1=[O:13]>>[*:1][N:2]=[C:3]1[S:4][C:11]([C:10][C:8](=[O:9])[N:7][*:6])[C:12](=[O:13])[NH:5]1	2.1.2	uncategorized carboxylic acid + amine reaction	rxnfp-50	0.6733022204556182	CNC(N)=S|CN1C(=O)C=CC1=O	CN=C1NC(=O)C(CC(=O)NC)S1
17	[#6:1][NH:2][NH2:3].O=[C:4][c:5]1[c:6][o:11][c:7][c:8][c:9]1=[O:10]>>[#6:1][N:2]1[N:3]=[C:4][C:5]([C:9](=[O:10])[c:8][c:7][OH:11])=[C:6]1	pyrazole	pyrazole	smarts-rules	1.0	CNN|O=Cc1coc2ccccc2c1=O	Cn1cc(C(=O)c2ccccc2O)cn1
18	[Cl,Br,I][CH2:1][$(C=O),$(C#N),$(S=O),$([N+](=O)[O-]):2].O=[CH:3][c:4][c:5][OH:6]>>[*:2][c:1]1[c:3][c:4][c:5][O:6]1	benzofuran	benzofuran	smarts-rules	1.0	O=CCBr|O=Cc1ccccc1O	O=Cc1cc2ccccc2o1
19	[#6:1][$(CO):2](=O)[O].[NH2:3][c:4][c:5][NH2,NH,SH,OH:6]>>[#6:1][c:2]1[nH0+0:3][c:4][c:5][*:6]1	benzimidazole_derivatives_carboxylic-acid/ester	benzimidazole_derivatives_carboxylic-acid/ester	smarts-rules	1.0	CC(=O)O|Nc1ccccc1N	Cc1nc2ccccc2[nH]1
20	[#6:1][CH:2](=O).[NH2:3][c:4][c:5][NH2,NH,SH,OH:6]>>[#6:1][c:2]1[nH0+0:3][c:4][c:5][*:6]1	benzimidazole_derivatives_aldehyde	benzimidazole_derivatives_aldehyde	smarts-rules	1.0	CC=O|Nc1ccccc1N	Cc1nc2ccccc2[nH]1
21	[#6;!$(C=[S,O,N]):1][Cl,Br,I].[#6;!$(C=[S,O,N]):2][Cl,Br,I]>>[#6:1]S[#6:2]	10.4.2	uncategorized methylation	rxnfp-50	0.9866369468706627	CCl|CCl	CSC
22	[OH;$(Oc):1].[C:2]1[O:4][C:3]1>>[O:1][C:2][C:3][OH:4]	1.7.7	uncategorized mitsunobu aryl ether synthesis	rxnfp-50	0.9629757803728878	Oc1ccccc1|C1CO1	OCCOc1ccccc1
23	[OH;$(Oc):1].[C:4]=[C:5][$(C=O),$(C#N),$(S=O),$([N+](=O)[O-]):6]>>[O:1][C:4][C:5][*:6]	1.7.9	uncategorized williamson ether synthesis	rxnfp-50	0.9564382843878105	Oc1ccccc1|C=CC(C)=O	CC(=O)CCOc1ccccc1
24	[NX3;!$(N[C]=[S,O,N]);H1,H2:1][c:2][c:3][C:4](=[O:5])[NX3;H1,H2:6].O=[CX3;!$(C(=O)[O,S,N,F,Cl,Br,I]):7]>>[N:1]1[c:2][c:3][C:4](=[O:5])[N:6][C:7]1	7.2.1	uncategorized amide to amine reduction	rxnfp-50	0.5631680709633476	NC(=O)c1ccccc1N|C=O	O=C1NCNc2ccccc21
25	[#6:1][NH2:2].([S:3]=[C:4]=[N;$([N][#6]):5].[#6;$([c][c]N=C=S),$([C][C]N=C=S),$([C]N=C=S):6][C:7](=[O:8])[O;$(O(C)C)])>>[NH:5][C:4](=[S:3])[N:2]([#6:1])[C:7](=[O:8])[#6:6]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|COC(=O)CN=C=S	CN1C(=O)CNC1=S
26	[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:1].[NX3;$(N[#6]);!$(N[#7]);H1,H0:2][$([C][O][CH2][C](F)(F)F),$([C]n1cncc1)&!R:3](=[O:4])[O,n]>>[N:1][C:3](=[O:4])[N:2]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|CNC(=O)OCC(F)(F)F	CNC(=O)NC
27	[$(O[#6]),$([NH][#6]),$([#6]):1][C:2](=[O:3])[CH2:4][C:5](=[O:6])[$(O[#6]),$([NH][#6]),$([#6]):7].[C:8][C:9]([$([O][CH3]),$([O][CH2][CH3])])([$([O][CH3]),$([O][CH2][CH3])])[$([O][CH3]),$([O][CH2][CH3])].[#6,$([NH][C](=O)[CH3]);!$(C=[O,S,N]):10][NH2:11]>>[*:1][C:2](=[O:3])[C:4]([C:5](=[O:6])[*:7])=[C:9]([C:8])[NH:11][*:10]	10.4.2	uncategorized methylation	rxnfp-50	0.9987878413625924	O=C(O)CC(=O)O|COC(C)(OC)OC|CN	CNC(C)=C(C(=O)O)C(=O)O
28	[#6:1][N:2]=[C:3]=[S:4].[c:5][CH:6]=O>>[c:5][C:6]=[C]1[S][C:3](=[S:4])[N:2]([#6:1])C1=O	10.4.2	uncategorized methylation	rxnfp-50	0.5255924652587859	CN=C=S|O=Cc1ccccc1	CN1C(=O)C(=Cc2ccccc2)SC1=S
29	[N:1]#[C:2][#6:3].[NH2:4][c:5][c:6][C:7](=[O:8])[$(O(C=O)C)]>>[#6:3][C:2]1=[N:4][c:5][c:6][C:7](=[O:8])[N:1]1	Niementowski_quinazoline	Niementowski_quinazoline	smarts-rules	1.0	CC#N|COC(=O)c1ccccc1N	Cc1nc2ccccc2c(=O)[nH]1
30	[C:1][NH2:2].([OH,$(O(C=O)C),Cl,Br,I][C;!R1:3](=[O:4])[CR1,$([c][c][NH][C]=[O]):5].[CR1,$([c][c][C]=[O]):6][NH:7][C;!R1:8](=[O:9])[OH,$(O(C=O)C),Cl,Br,I])>>[*:6][NH:7][C:8](=[O:9])[N:2]([C:1])[C:3](=[O:4])[*:5]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|O=C(O)NC1CCC(C(=O)O)CC1	CN1C(=O)NC2CCC(CC2)C1=O
31	[#6:1][C:2](=[O:3])[OH,O-:4].[Cl,Br,I][C;!$(C=[N,O,S]):5]>>[#6:1][C:2](=[O:3])[O:4][C:5]	Grignard_carbonyl	Grignard_carbonyl	smarts-rules	1.0	CC(=O)O|CCl	COC(C)=O
32	[#6;!$(C=[S,O,N]):1][Cl,$(OS(=O)(=O)[#6;!R])].[#6;!$(C=[S,O,N]):2][Cl,$(OS(=O)(=O)[#6;!R])]>>[#6:1]S(=O)(=O)[#6:2]	2.7.2	uncategorized sulfonic ester schotten-baumann	rxnfp-50	0.8565134553264363	CCl|CCl	CS(C)(=O)=O
33	[#6;!$(C=[S,O,N]):1][Cl,$(OS(=O)(=O)[#6;!R])].[#6;!$(C=[S,O,N]):2][Cl,$(OS(=O)(=O)[#6;!R])]>>[#6:1]S(=O)(=O)[#6:2]	2.7.2	uncategorized sulfonic ester schotten-baumann	rxnfp-50	0.8565134553264363	CCl|CCl	CS(C)(=O)=O
34	[#6:1][NH2:2].Cl[S:3](=[O:4])(=[O:5])[c:6][c:7][C:8](=[O:9])[O;$(O(C)C)]>>[C:1][N:2]1[S:3](=[O:4])(=[O:5])[c:6][c:7][C:8](=[O:9])1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|COC(=O)c1ccccc1S(=O)(=O)Cl	CN1C(=O)c2ccccc2S1(=O)=O
35	[NH2:1]-[c:2][c:3]-[C:4]#[N:5].[#6;!$(C=[O,S,N]):6][NH2:7]>>[#6:6][NH:7][cH0+0:4]1[nH0+0:5][cH0+0][nH0+0:1][c:2][c:3]1	10.4.2	uncategorized methylation	rxnfp-50	0.9926255473949332	N#Cc1ccccc1N|CN	CNc1n[c]nc2ccccc12
36	[NH2;$([N][#6]);!$([N]C=[O,S,N]):1].[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:2]>>[N:1][C](=[O])[N:2]	5.1.1	uncategorized n-boc protection	rxnfp-50	0.73000133617905	CN|CN	CNC(=O)NC
37	[#6;!$(C=[S,O,N]):1][Cl,$(OS(=O)(=O)[#6;!R])].[#6;!$(C=[S,O,N]):2][SH:3]>>[#6:1][S:3](=O)(=O)[#6:2]	2.7.2	uncategorized sulfonic ester schotten-baumann	rxnfp-50	0.7416613066917839	CCl|CS	CS(C)(=O)=O
38	[NX3;!$(N[C]=[S,O,N]);$(N[#6,S]);!$(N[#7]);H1,H2:1].[NX3;!$(N[C]=[S,O,N]);$(N[#6,S]);!$(N[#7]);H1,H2:2]>>[N:1]C(=O)C(=O)[N:2]	3.3.1	uncategorized sonogashira coupling	rxnfp-50	0.6913115456192058	CN|CN	CNC(=O)C(=O)NC
39	[N;$([N](=CS)[C]),$([NH]=CS):1]=[C:2]([S;!R]C)[NX3;$([NH](CS)[C]),$([NH2]CS):3].[C;!$(C=[N,O,S]):4][NH2:5]>>[C:4][N:5][C:2](=[N:1])[N:3]	10.4.2	uncategorized methylation	rxnfp-50	0.99969119803281	CSC(=N)N|CN	CNC(=N)N
40	[$(C=O),$([N+](=O)[O-]):1][CH2:2][$(C=O),$([N+](=O)[O-]):3].FC(F)(F)CO[C:4](=[O:5])[NH:6][#6;!$(C=[O,S,N]):7]>>[*:1][CH:2]([*:3])[C:4](=[O:5])[NH:6][*:7]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	O=C(O)CC(=O)O|CNC(=O)OCC(F)(F)F	CNC(=O)C(C(=O)O)C(=O)O
41	[NX3;$([NH](C=S)[C]),$([NH2]C=S):1][C:2](=S)[NX3;$([NH](C=S)[C]),$([NH2]C=S):3].[C;!$(C=[N,O,S]):4][NH2:5]>>[C:4][NH:5][C:2](=[N:1])[NH:3]	10.4.2	uncategorized methylation	rxnfp-50	0.9998949532688661	NC(N)=S|CN	CNC([NH])=N
42	[#6;!$(C=[S,O,N]):1][Cl,$(OS(=O)(=O)[#6;!R])].[#6;!$(C=[S,O,N]):2][SH:3]>>[#6:1][S:3](=O)[#6:2]	8.2.1	uncategorized sulfanyl to sulfinyl	rxnfp-50	0.9991117030367452	CCl|CS	CS(C)=O
43	[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:1].[#6:3][CX3;!$(C[!#6]);H0,H1:4]=[O]>>[N:1][C:4][#6:3]	reductive amination	reductive amination	smarts-rules	1.0	CN|CC=O	CCNC
44	[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:1].[#6:4][C:5](=[O:6])[O:7][C:8](=[O:9])[#6:10]>>([N:1][C:5](=[O:6])[#6:4].[OH:7][C:8](=[O:9])[#6:10])	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|CC(=O)OC(C)=O	CC(=O)O.CNC(C)=O
45	[NH2:1][c:2][c:3][C:4](=[O:5])[O][C].[C:6][NH2:7]>>[NH:1]1[c:2][c:3][C:4](=[O:5])[N:7]([C:6])C1=O	Niementowski_quinazoline	Niementowski_quinazoline	smarts-rules	1.0	COC(=O)c1ccccc1N|CN	Cn1c(=O)[nH]c2ccccc2c1=O
46	[#6:1]-[C:2]#[N:3].[#6:4]-[C:5](=O)[OH,O-]>>[#6:1]-[cH0+0:2]1[nH0+0][oH0+0][cH0+0:5]([#6:4])[nH0+0:3]1	oxadiazole	oxadiazole	smarts-rules	1.0	CC#N|CC(=O)O	Cc1noc(C)n1
47	[OH:1]-[N:2]=[C:3]([#6:4])-[NH2:5]>>[#6:4]-[cH0+0:3]1[nH0+0:2][oH0+0:1][cH0+0](=O)[nH1+0:5]1	10.4.2	uncategorized methylation	rxnfp-50	0.9988231587969683	CC(N)=NO	Cc1noc(=O)[nH]1
48	[#6:1]-[N:2]=[C:3]=S.[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:5].[#6:7]-[C:8](=O)[NH:9][NH2:10]>>[#6:1]-[nH0+0:2]1[cH0+0:8](-[#6:7])[nH0+0:9][nH0+0:10][cH0+0:3](-[N:5])1	1,2,4-triazole	1,2,4-triazole	smarts-rules	1.0	CN=C=S|CN|CC(=O)NN	CNc1nnc(C)n1C
49	[#6:1][C:2](=[O:3])[O;$(O[CH3]),$(O[CH2][CH3]),$(O[CH2][C](F)(F)F)].[NX3;!$(N[C,S]=[S,O,N]);$(N[#6]);!$(N[#7]);H1,H2:4]>>[#6:1][C:2](=[O:3])[N:4]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	COC(C)=O|CN	CNC(C)=O
50	[c:1]-B(O)O.[Cl,Br,I][c:2]>>[c:1]-[c:2]	Suzuki	Suzuki	smarts-rules	1.0	OB(O)c1ccccc1|Brc1ccccc1	c1ccc(-c2ccccc2)cc1
51	[#6,#1:1][C:2](=[O:3])[NH:4][NH2:5].[#6,H:6][C:7](=O)[OH,O-]>>[*:1][c:2]1[nH0+0:4][nH0+0:5][c:7]([*:6])[oH0+0:3]1	oxadiazole	oxadiazole	smarts-rules	1.0	CC(=O)NN|CC(=O)O	Cc1nnc(C)o1
52	[NX3;$([NH]([#6])[C]),$([NH2][C]):1][C:2][C:3](=[O:4])O[C;!R].[C;!$(C=[N,O,S]):5][NH2:6]>>[N:1]1[C:2][C:3](=[O:4])[N:6]([C:5])C(=O)1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	COC(=O)CN|CN	CN1C(=O)CNC1=O
53	[NX3;$([NH]([#6])[C]),$([NH2][C]):1][C:2][C:3](=[O:4])O[C;!R].[C;!$(C=[N,O,S]):5][NH:6][C:7](=[O:8])O[CH2]C(F)(F)F>>[N:1]1[C:2][C:3](=[O:4])[N:6]([C:5])[C:7](=[O:8])1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	COC(=O)CN|CNC(=O)OCC(F)(F)F	CN1C(=O)CNC1=O
54	[#6,#1:1][C:2](=O)[C:3]([#6,H:4])[Cl,Br,I]>>[*:1]-[cH0+0:2]1[nH0+0][cH0+0](-[NH2])[sH0+0][c:3]1[*:4]	thiazole	thiazole	smarts-rules	1.0	CC(=O)C(C)Cl	Cc1nc(N)sc1C
55	[NX3;$([NH]([#6])[C]),$([NH2][C]):1][C:2][C:3](=[O:4])O[C;!R].[C;!$(C=[N,O,S]):5][NH:6][C:7](=[O:8])O[CH2]C(F)(F)F>>[C:5][NH:6][C:7](=[O:8])[N:1][C:2][C:3](=[O:4])[OH]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	COC(=O)CN|CNC(=O)OCC(F)(F)F	CNC(=O)NCC(=O)O
56	[#6;!$(C=[O,S,N]):1][OH,SH:2].[Cl,Br,I][#6;!$(C=[N,O,S]):3]>>[#6:1][O,S:2][#6:3]	Williamson ether	Williamson ether	smarts-rules	1.0	CO|CCl	COC
