template_id	template_smarts	reaction_class_id	reaction_name	annotation_method	annotation_confidence	example_reactants	example_product
73	([C;!$(C=[N,O,S]):1][NH:2][#6;!$([c][c][c][NH2]);$([#6][#6][NH2]),$([#6][#6][#6][NH2]):3].[#6;$([#6][#6][NH:2]),$([#6][#6][#6][NH:2]):4][NH2:5]).[C;!$(C=[N,O,S]):7][NH2:6]>>[#6:3][N:2]([C:1])C([NH:6][C:7])=[N:5][#6:4]	10.4.2	uncategorized methylation	rxnfp-50	0.878300265495603	CNCCN|CN	CNC1=NCCN1C
74	CO[C:1](=[O:2])[C:3][NH2:4].CC(C)(C)OC(=O)[NH:5][C:6][C:7](=[O:8])[OH,O-]>>[C:1](=[O:2])1[C:3][NH:4][C:7](=[O:8])[C:6][NH:5]1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	COC(=O)CN|CC(C)(C)OC(=O)NCC(=O)O	O=C1CNC(=O)CN1
75	[C;!$(C=[N,O,S]):1][NH2:2].[NH2:3][C;!$(C=[O,S,N]):4][C:5][C:6](=[O:7])[O;$(OC)]>>[C:1][N:2]1[C:6](=[O:7])[C:5][C:4][NH:3]C(=O)1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|COC(=O)CCN	CN1C(=O)CCNC1=O
76	[NH2:1][C:2](=[NH])-[#6,H:3].[#6,H:4]-[C:5](=O)[OH,O-].[#6,H:6][NH:7][NH2:8]>>[*:3]-[cH0+0:2]1[nH0+0:1][cH0+0:5](-[*:4])[nH0+0:7]([*:6])[nH0+0:8]1	1,2,4-triazole	1,2,4-triazole	smarts-rules	1.0	N=C(N)NN|CC(=O)O|CNN	Cc1nc(NN)nn1C
77	[#6,#1:1][C:2](=O)[NH:3][NH2:4].[#6,H:5][C:6](=[NH:7])O[CH3]>>[*:1]-[cH0+0:2]1[nH0+0:3][nH0+0:4][cH0+0:6]([*:5])[nH1+0:7]1	1,2,4-triazole	1,2,4-triazole	smarts-rules	1.0	CC(=O)NN|COC(C)=N	Cc1nnc(C)[nH]1
78	[#6,#1:1][C:2](=O)[c:9]1[c:10][c:11][c:12][c:13][c:14]1[NH2:3].CC(C)(C)OC(=O)[NH:4][C:5]([#6,#1:6])[C:7](=[O:8])[OH,O-]>>[O:8]=[C:7]1[NH:3][c:14]2[c:13][c:12][c:11][c:10][c:9]2[CH0+0:2]([*:1])=[NH0+0:4][C:5]1[*:6]	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CC(=O)c1ccccc1N|CC(NC(=O)OC(C)(C)C)C(=O)O	CC1=NC(C)C(=O)Nc2ccccc21
79	[CH3:1][C:2](=[O])[#6:4].[NH2:5][C:6](=[O:7])[N;$([NH](C=O)[#6]),$([NH2](C=O)):8].[OH,O-:9][c:10][c:11][CH:12]=O>>[#6:4][C:2]12[CH2:1][CH:12]([NH:5][C:6](=[O:7])[N:8]1)[c:11][c:10][O:9]2	1.2.1	uncategorized aldehyde reductive amination	rxnfp-50	0.9613739917503372	CC(C)=O|NC(N)=O|O=Cc1ccccc1O	CC12CC(NC(=O)N1)c1ccccc1O2
80	[C;!$(C=[N,O,S]):1][NH2:2].[C;!$(C=[N,O,S]):3][NH2:4].[C:5]=[C:6][C:7](=[O:8])[O;$(OC)]>>[C:1][N:2]1[C:5][C:6][C:7](=[O:8])[N:4]([C:3])C(=O)1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|CN|C=CC(=O)OC	CN1CCC(=O)N(C)C1=O
81	[NH2:1][NH:2][#6:3].O=[CH:4][c:5][c:6][C:7](=[O:8])OC>>[#6:3][N:2]1[N:1]=[CH:4][c:5][c:6][C:7](=[O:8])1	phthalazinone	phthalazinone	smarts-rules	1.0	CNN|COC(=O)c1ccccc1C=O	Cn1ncc2ccccc2c1=O
82	[NH2;$([N][#6]);!$([N]C=[O,S,N]):1].[OH,O-][C:2](=[O:3])[C:4][C:5](=[C;H1,H2:6])[C:7](=[O:8])[O:9]>>[N:1]1[C:2](=[O:3])[C:4][C:5]([C:7](=[O:8])[O:9])[C:6]1	Schotten-Baumann_amide	Schotten-Baumann_amide	smarts-rules	1.0	CN|C=C(CC(=O)O)C(=O)O	CN1CC(C(=O)O)CC1=O
