MCULE-9472169445,14.0,74.0,in stock,5000000.0,CO[C@@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]3[C@H](O)[C@@H](O)[C@@H](O[C@@H]4[C@H](O)[C@@H](O)[C@@H](OC)[C@@H](C(O)=O)O4)[C@@H](C(O)=O)O3)[C@@H](C(O)=O)O2)[C@@H](C(O)=O)O1,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-6590050286,14.0,98.0,in stock,1200000.0,OC[C@@]12CC[C@]3([C@]4([C@H](CC[C@H]3[C@@H]1[C@H](C(C)=C)CC2)[C@]1(CC[C@H](O)C(C)(C)[C@@H]1CC4)C)C)C,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-7545625248,14.0,99.0,in stock,1000000.0,C(N1CCC[C@H]1C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@H](O)C)C(=O)N[C@H](C(=O)O)CC1C=CC=CC=1)(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)[C@@H](N)[C@H](O)C)CC1NC=NC=1)CC1NC=NC=1,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-1432224982,14.0,98.0,in stock,6000000.0,CCCCCCCC/C=C/CCCCCCCC(OCCN(CCO)CCOC(CCCCCCC/C=C/CCCCCCCC)=O)=O,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-3708586928,14.0,98.0,in stock,3500000.0,OCC(N)(CO)CO.OC(/C=C/C(O)=O)=O,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-3340882818,14.0,,in stock,500000.0,O=CC[C@@H]1[C@H](O[C@@H]2[C@H](O)[C@@H](N(C)C)[C@H](O[C@H]3C[C@](O)(C)[C@@H](OC(C)=O)[C@H](C)O3)[C@@H](C)O2)[C@@H](C)[C@H](O)CC(=O)O[C@H](CC)[C@@H](CO[C@H]2[C@H](OC)[C@H](OC)[C@H](OC(CC(C)C)=O)[C@@H](C)O2)C=CC=CC(=O)[C@H](C)C1.O[C@@H](C(O)=O)[C@@H](O)C(O)=O,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-5039394473,14.0,95.0,in stock,300000.0,CCCCCCCC/C=C/CCCCCCCCCCCC(OCC)=O,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-1933368033,10.0,95.0,in stock,80000.0,COC([C@H]1N(C(OC(C)(C)C)=O)CC(O)C1)=O,7.34,7.34,7.34,7.34,7.34,7.34
MCULE-9330129426,14.0,,in stock,300000.0,[C@]12([C@]([H])(CC[C@]3(C)[C@H](CC[C@@]13[H])[C@H](C)CCCC(C)C)[C@@]1(C)CC[C@H](OC(=O)CC)CC1=CC2)[H],5.96,5.96,5.96,5.96,7.34,7.34
MCULE-6480398704,20.0,97.0,in stock,2500000.0,OC([C@](CCC(N)=O)(NC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)[H])=O,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-3501518994,20.0,95.0,in stock,1000000.0,CCCCCCCCCCCCN1C(C)[NH+](CCCCCCCCCCCC)C=C1.[Cl-],7.46,7.46,7.46,7.46,7.46,7.46
MCULE-1186719448,20.0,,in stock,3000000.0,CC(C(OCCOP(OCCOC(C(=C)C)=O)(OCCOC(C(=C)C)=O)=O)=O)=C.OP(=O)(O)O,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-8349855707,20.0,98.0,in stock,200000.0,CC1C=C(C)C(N2C[NH+](C3C(C)=CC(C)=CC=3C)C=C2)=C(C)C=1.[Cl-],7.46,7.46,7.46,7.46,7.46,7.46
MCULE-9179212200,20.0,97.0,in stock,735510.0,OCC1(C(O)[C@H](O)[C@H](O)CO1)O,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-7160593297,20.0,98.0,in stock,500000.0,O[C@H]1C[C@H]2C[C@H](O)C3C4CC[C@H]([C@H](C)CCC(NCCS(O)(=O)=O)=O)[C@@]4(C)CCC3[C@@]2(C)CC1,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-5281473537,20.0,95.0,in stock,500000.0,O=C1[C@](O)([C@@H](O)[C@@H](O)[C@H](O)/C(=C(/C)\C)/O)C1(C)C,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-8873138305,20.0,95.0,in stock,2500000.0,[C@@H](CSC(C)=O)(NC(CC[C@H](N)C(O)=O)=O)C(=O)NCC(O)=O,6.29,6.29,6.29,6.29,7.46,7.46
MCULE-6745348516,20.0,98.0,in stock,2000000.0,[K+].[O-]P(=O)O,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-7000595558,20.0,,in stock,1500000.0,CO[C@H]1[C@H](O)[C@H](O)[C@H](O[C@H]2[C@H](O)[C@H](O)[C@H](O[C@H]3[C@H](O)[C@H](O)[C@H](O[C@H]4[C@H](O)[C@H](O)[C@H](OC)O[C@@H]4CO)O[C@@H]3CO[C@@H]3[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O3)O[C@@H]2CO)O[C@@H]1CO,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-5446867472,20.0,98.0,in stock,3500000.0,OS(C1=CC=C2C(CCC2)=C1)(=O)=O.N,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-3975962843,20.0,99.0,in stock,51500000.0,OP1(OP(O)(=O)OP(O)(=O)O1)=O,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-1490641488,20.0,97.0,in stock,1300000.0,NC1C(=O)NC(=O)N=C1,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-3382199964,20.0,98.0,in stock,25000000.0,OC(=S)CCC,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-1104182076,20.0,97.0,in stock,500000.0,O=C(OCC1=CC=CC=C1)N[C@@](CCCN/C=N/NS(C1=C(C(=C2C(CC(C)(C)O2)=C1C)C)C)(=O)=O)(C(O)=O)[H].NC1CCCCC1,6.29,6.29,6.29,6.29,7.46,7.46
MCULE-7813102270,20.0,98.0,in stock,125000.0,NC(C[C@@H](C(O)=O)N(C(OCC1C=CC=CC=1)=O)C(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)=O,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-1297176146,20.0,95.0,in stock,10000000.0,CC(C)CCC[C@@H](C)[C@@H]1[C@]2(CC[C@@H]3[C@]4(CCC(O)CC4=CC[C@H]3[C@@H]2CC1)C)C,7.46,7.46,7.46,7.46,7.46,7.46
MCULE-7685633888,20.0,97.0,in stock,5000000.0,OCC1C(=O)NC(=O)N=C1,7.46,7.46,7.46,7.46,7.46,7.46
